batting-hand,bowler_type_way_out,innings,batsman_runs,batsman_balls,batsman_4s,batsman_6s,batting_position,dismissed_ball,wickets_fallen,runs_scored
left,Right-arm medium-fast_caught,1,0,1,0,0,6,38.2,4,253
left,Right-arm fast-medium_caught,1,7,12,1,0,7,17.1,5,70
left,Right-arm offbreak_lbw,2,5,13,0,0,7,39.5,6,201
left,Left-arm fast-medium_caught,1,57,103,6,0,7,44.1,7,149
left,Left-arm fast-medium_caught,1,39,34,3,1,7,49.2,8,275
left,Right-arm offbreak_lbw,1,38,64,0,0,7,34.2,5,166
left,Right-arm fast-medium_caught,1,22,20,1,0,8,45.5,7,274
left,Left-arm fast-medium_caught,2,36,35,2,1,8,44.3,9,275
left,Right-arm medium-fast_caught,1,51,72,3,2,6,49.2,8,190
left,Right-arm offbreak_bowled,2,6,9,0,0,7,45.1,5,219
left,Right-arm fast-medium_lbw,1,0,1,0,0,7,38.1,5,189
left,Right-arm offbreak_caught,2,20,44,2,0,7,28.2,8,84
left,Right-arm medium-fast_caught,1,0,9,0,0,7,25.2,5,77
left,Right-arm medium-fast_caught,1,17,26,3,0,7,39.2,6,199
left,Right-arm fast-medium_caught,1,78,89,10,0,7,49.2,6,229
left,Right-arm fast-medium_caught,1,0,1,0,0,7,49.1,5,288
left,Slow left-arm orthodox_caught,1,21,21,2,0,7,43.4,5,206
left,Right-arm medium-fast_caught,2,38,62,3,0,7,28.3,5,142
left,Right-arm fast_caught,1,10,10,0,0,4,43.2,2,341
left,Right-arm fast-medium_caught,2,19,25,0,0,7,22.3,5,114
left,Slow left-arm orthodox_caught,2,12,8,0,0,7,48.4,5,257
left,Right-arm medium-fast_caught,2,3,10,0,0,7,43.3,5,184
left,Left-arm fast_caught,2,18,35,1,0,7,30.4,5,114
left,Right-arm fast-medium_bowled,2,17,21,1,0,6,37.4,5,191
left,Right-arm fast-medium_caught,2,8,17,1,0,7,26.3,5,104
left,Right-arm offbreak_caught,2,13,23,0,0,8,39.2,6,131
left,Right-arm offbreak_caught,1,27,39,0,2,8,43.4,9,167
left,Right-arm fast-medium_bowled,2,7,9,0,0,7,44.5,6,273
left,Right-arm offbreak_caught,1,39,65,1,2,7,38.4,5,157
left,Right-arm fast_bowled,1,15,20,2,0,7,48.4,6,212
left,Slow left-arm orthodox_lbw,2,5,14,0,0,7,37.1,5,152
left,Slow left-arm orthodox_caught,1,15,22,1,0,7,49.1,7,271
left,Left-arm fast-medium_caught,2,11,18,1,0,7,39.3,5,192
left,Left-arm fast_caught,1,2,4,0,0,7,31.3,5,154
